n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min,kappa,kappa_n
120,5.184615384615385,1.0,0.0001531013985555,0.0952526239628519,True,17,9,15.76179522539172,0.195590039354898,0.9999132236943268,0.2528771465987998,0.1965411607020426,0.2367584005612813,0.1385264911681062,0.818537857031684,80.63041608645075,0.025275964116922834,0.0002106330343076903
120,5.461538461538462,1.0,0.0001531013985555,0.1003403012071586,True,18,9,16.605217791236544,0.2118451921010833,0.9999124799130626,0.2745704211936004,0.2125661881191307,0.2557551623981061,0.1459255322393997,0.8062429173229563,76.54211329896874,0.02521363377806236,0.00021011361481718634
120,5.7384615384615385,1.0,0.0001531013985555,0.1054279784514652,True,19,9,17.4989758332598,0.2286924432307552,0.9998998884909632,0.2978250013088522,0.2296163595015797,0.2759184729262987,0.1533245733106931,0.7935100848242121,72.84839201376381,0.025093500009832927,0.00020911250008194107
120,6.015384615384616,1.0,0.0001531013985555,0.1105156556957718,True,20,10,18.46154319903916,0.2463696038332498,0.9999017529475352,0.3228659514212795,0.2478320926287896,0.2974052098889552,0.1607236143819867,0.7802896847097821,69.49475759880792,0.02493649760887694,0.00020780414674064117
120,6.292307692307693,1.0,0.0001531013985555,0.1156033329400785,True,21,10,19.564956941108715,0.2660330857487956,0.9998961715772672,0.3499705102142855,0.2673854048130314,0.3204071708236677,0.1681226554532802,0.7665218508542306,66.43630860912934,0.024841326313016165,0.00020701105260846804
120,6.56923076923077,1.0,0.0001531013985555,0.1206910101843851,True,22,11,20.759693241911567,0.2865255594115921,0.9998938495501256,0.3794857095921534,0.2884903797170569,0.3451625540894418,0.1755216965245737,0.7521333315975726,63.63571480359226,0.024673940970358528,0.00020561617475298773
120,6.846153846153847,1.0,0.0001531013985555,0.1257786874286918,True,23,12,22.15318873313328,0.3094080985268386,0.9998824357207884,0.4118542082521396,0.3114184483989544,0.3719726920541432,0.1829207375958672,0.7370328795277161,61.061685890188535,0.024550409889323405,0.00020458674907769504
120,7.123076923076924,1.0,0.0001531013985555,0.1308663646729984,True,25,12,23.74187431648089,0.334139431584497,0.9998827623272624,0.4476534691857057,0.3365214606214766,0.4012272697380159,0.1903197786671608,0.7211043728402137,58.68779745385292,0.024392502234385476,0.0002032708519532123
120,7.4,1.0,0.0001531013985555,0.135954041917305,True,27,13,25.60723092073841,0.3614007634679994,0.9998772245861336,0.4876576324826245,0.3642679530571397,0.4334438942044197,0.1977188197384543,0.7041961334610228,56.49158050131789,0.024218353736118817,0.0002018196144676568
120,7.676923076923077,1.0,0.0001531013985555,0.1410417191616116,True,29,14,27.824687521601174,0.391442705938152,0.9998545092032084,0.5329402148179996,0.3953030593278538,0.4693333281455483,0.2051178608097477,0.6861035041268935,54.453808058384574,0.024002710702502848,0.00020002258918752372
120,7.953846153846155,1.0,0.0001531013985555,0.1461293964059183,True,31,15,30.638054791521437,0.4261814640413087,0.9998384468371564,0.5850555913233847,0.4305538446865564,0.5099139433110282,0.2125169018810412,0.6665386159441594,52.55793079522997,0.02380498988182897,0.0001983749156819081
120,8.23076923076923,1.0,0.0001531013985555,0.1512170736502249,True,35,17,34.24337883671954,0.4657808763072146,0.9998098007420848,0.6463869400142573,0.4714301870508179,0.5567295014141775,0.2199159429523347,0.6450735210582553,50.7896265815587,0.023548305366847933,0.0001962358780570661
120,8.507692307692308,1.0,0.0001531013985555,0.1563047508945315,True,40,19,39.26163533347857,0.5131539056502109,0.9997547038566966,0.7208918424991042,0.5202528159301899,0.6123120791241059,0.2273149840236283,0.6210207637369899,49.13643801290036,0.02326205648882306,0.00019385047074019218
120,8.784615384615384,1.0,0.0001531013985555,0.1613924281388382,True,47,22,47.00630521689613,0.5724112571728867,0.9996670071714028,0.8159826702932249,0.5813262659881053,0.681339386198514,0.2347140250949217,0.5931386130775388,47.587478495856224,0.02292439110492074,0.00019103659254100618
120,9.06153846153846,1.0,0.0001531013985555,0.1664801053831448,True,60,27,61.46227668509762,0.6523635428896413,0.9994616609633342,0.948735666165764,0.6644578699017207,0.7744189990665291,0.2421130661662153,0.5586806690478224,46.13319222603379,0.022470618870824553,0.00018725515725687128
120,9.33846153846154,1.0,0.0001531013985555,0.1715677826274514,True,103,44,110.05108047293734,0.7875598626066087,0.9986174259022194,1.183332360990959,0.8059988275347953,0.930628033205674,0.2495121072375087,0.507831441209584,44.765156871719775,0.021749406557319162,0.00018124505464432635
